"IMAGE","NEWACCT_NO","LINE_STAT","BILL_CYCL","DISTRICT","TENURE","CHURN_REASON","CHURN_GROUP","CURRENT_MTH_CHURN","COSTCENTRE","EFFC_STRT_DATE","EFFC_EXP_DATE"
31-OCT-19,"93900470.001.000065271","AC","01","KWUN TONG",77,"","","N","SCFY",14-APR-18,13-APR-20
31-MAY-19,"93900959.001.000065274","AC","01","KWUN TONG",77,"Closing Business","Closing Business","Y","SCFY",,
31-OCT-19,"93903490.001.000065287","AC","01","KWAI CHUNG",77,"","","N","SCFY",01-JUL-19,30-JUN-21
31-OCT-19,"93903490.001.000083867","AC","01","KWAI CHUNG",77,"","","N","SCFY",26-MAY-19,25-MAY-21
31-OCT-19,"93903516.001.000065290","AC","01","CHAI WAN",77,"","","N","SCFY",28-MAY-19,27-MAY-21
31-OCT-19,"93903664.001.000065327","AC","01","KOWLOON BAY",77,"","","N","SCFY",27-DEC-17,26-JAN-20
31-OCT-19,"93903797.001.000065337","AC","01","YAU MA TEI",77,"","","N","SCFY",01-MAR-19,28-FEB-21
31-OCT-19,"93904399.001.000065338","AC","01","CHAI WAN",77,"","","N","SCFY",24-MAY-19,23-MAY-21
31-OCT-19,"93904415.001.000065340","AC","01","HUNG HOM",77,"","","N","SCFY",24-MAY-19,23-MAY-21
31-OCT-19,"93904423.001.000065345","AC","01","TUEN MUN",77,"","","N","SCFY",01-SEP-19,31-AUG-21
31-OCT-19,"93904456.001.000065346","AC","01","TSIM SHA TSUI",77,"","","N","SCFY",18-JUN-19,17-JUN-21
31-OCT-18,"93904464.001.000071170","AC","01","CHEUNG SHA WAN",77,"No Reason Stated","No Reason Stated","Y","SCFY",,
31-OCT-19,"93904464.001.000088316","AC","01","CHEUNG SHA WAN",77,"","","N","SCFY",23-APR-18,22-APR-21
31-MAY-19,"93904506.001.000065350","AC","01","MONG KOK",77,"COM-Unsatisfy Service quality","COM-Unsatisfy Service quality","Y","SCFY",,
31-OCT-19,"93905164.001.000065355","AC","01","CHEUNG SHA WAN",77,"","","N","SCFY",09-JUL-19,08-JUL-21
31-OCT-19,"93905172.001.000065668","AC","01","TUEN MUN",77,"","","N","SCFY",,
31-OCT-19,"93905198.002.000078525","AC","01","SHAM SHUI PO",77,"","","N","SCFY",26-SEP-19,25-SEP-21
31-OCT-19,"93905206.001.000065367","AC","01","SHA TIN",77,"","","N","SCFY",23-JUN-19,22-JUN-21
31-OCT-19,"93905206.001.000081334","AC","01","SHA TIN",77,"","","N","SCFY",01-FEB-19,31-JAN-21
31-OCT-19,"93905206.001.000095821","AC","01","SHEUNG WAN",77,"","","N","SCFY",06-SEP-19,05-SEP-21
31-MAY-19,"93905214.001.000065366","AC","01","KWUN TONG",77,"Downsizing / Cut cost","Downsizing / Cut cost","Y","SCFY",,
31-OCT-19,"93905222.001.000065360","AC","01","WAN CHAI",77,"","","N","SCFY",01-JUN-19,31-MAY-21
31-OCT-19,"93905339.001.000068321","AC","01","HUNG HOM",77,"","","N","SCFY",05-JUL-18,04-FEB-22
31-MAY-19,"93905982.001.000065379","AC","01","WAN CHAI",77,"Network Problem","Network Problem","Y","SCFY",,
31-JAN-19,"93906014.001.000065381","IS","01","KWUN TONG",77,"(R) Overdue Termination: Involuntary termination by credit control","(R) Overdue Termination","Y","SCFY",,
31-OCT-19,"93906030.001.000065384","AC","01","WAN CHAI",77,"","","N","SCFY",01-OCT-19,30-SEP-21
31-OCT-19,"93906048.001.000070742","AC","01","YAU MA TEI",77,"","","N","SCFY",08-OCT-18,07-OCT-20
31-OCT-19,"93906048.001.000090296","AC","01","YAU MA TEI",77,"","","N","SCFY",15-OCT-18,14-OCT-20
31-OCT-19,"93906352.001.000065395","AC","01","WAN CHAI",77,"","","N","SCFY",27-MAY-19,26-MAY-21
